period_days,duration_hours,depth_ppm,prad_re,teff_k,logg_cgs,srad_rsun,fpflag_nt,fpflag_ss,fpflag_co,fpflag_ec
3.8681492,2.1610195,17259.9935362,12.2658903,4746.0,4.4323,0.877591,0.0,0.0,0.0,0.0
3.351573993,2.8758,54546.0,24.15,5984.0,4.408,1.033,0.0,1.0,0.0,0.0
33.18089453,15.24,1238.5,3.96,5718.0,4.411,1.028,0.0,0.0,0.0,0.0
364.14397,15.37,513.5,2.2,6039.0,4.493,0.951,0.0,0.0,1.0,0.0
1.865962,3.214,1238.5,1.564,5129.0,4.655,0.804,0.0,0.0,0.0,0.0
9.79551,3.214,1238.5,2.52,4272.0,4.64,0.65,0.0,0.0,0.0,0.0
55.00402906,6.06,1238.5,3.96,5718.0,4.411,1.028,1.0,0.0,0.0,0.0
45.680876,2.293,350.3,14.5,4835.0,2.608,7.917,1.0,0.0,0.0,0.0
119.0624882,3.1188,5372.3,10.4,5697.0,4.392,0.92,0.0,0.0,0.0,0.0
8.508333104,3.4559,646.5,2.6,5767.0,4.396,1.03,0.0,0.0,0.0,0.0
4.172202,2.263,1980.0,3.23281,4313.0,4.53,0.73,0.0,0.0,0.0,0.0
10.6925011,3.491,1200.0,4.01292,5844.0,4.34318,1.15,0.0,0.0,0.0,0.0
3.52743,3.214,1238.5,1.11,3624.0,5.014,0.257,0.0,0.0,0.0,0.0
43.8496474,2.217,452.3,21.42,4893.0,2.644,10.363,1.0,0.0,0.0,0.0
1.106529843,6.258,319.5,1.91,5932.0,4.58,0.798,1.0,0.0,1.0,0.0
3.225286,3.214,1238.5,1.74,4507.0,4.6,0.68,0.0,0.0,0.0,0.0
6.854931,3.214,1238.5,3.96,5360.0,4.343,1.031,0.0,0.0,0.0,0.0
76.01811375,13.4849,80671.0,63.58,6703.0,4.018,1.892,0.0,1.0,0.0,0.0
8.8720542,3.6593396,6144.296801,11.9849813,6042.0,4.15,1.47996,0.0,0.0,0.0,0.0
6.3377947,1.639,9130.0,12.6346,5974.0,4.411,1.22,0.0,0.0,0.0,0.0
